Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Green Book,tt6966692,won,false,false,false,
The Favourite,tt5083738,nominated,false,false,false,
First Reformed,tt6053438,nominated,false,false,false,
BlacKkKlansman,tt7349662,won,false,false,false,
Can You Ever Forgive Me?,tt4595882,nominated,false,false,false,
If Beale Street Could Talk,tt7125860,nominated,false,true,false,
The Ballad of Buster Scruggs,tt6412452,nominated,true,false,false,
Roma,tt6155172,won,true,false,false,
Cold War,tt6543652,nominated,false,false,false,
Never Look Away,tt5311542,nominated,false,false,false,
Bohemian Rhapsody,tt1727824,won,false,false,false,
Black Panther,tt1825683,won,false,false,true,
Mary Poppins Returns,tt5028340,nominated,true,false,false,
Mary Queen of Scots,tt2328900,nominated,false,false,false,
Vice,tt6266538,won,false,true,false,
Border,tt5501104,nominated,false,true,false,
Isle of Dogs,tt5104604,nominated,false,false,false,
A Star Is Born,tt1517451,won,false,false,false,
RBG,tt7689964,nominated,false,true,false,
A Quiet Place,tt6644200,nominated,false,true,false,
First Man,tt1213641,won,false,false,false,
Avengers: Infinity War,tt4154756,nominated,true,false,false,
Christopher Robin,tt4575576,nominated,true,false,false,
Ready Player One,tt1677720,nominated,false,false,false,
Solo: A Star Wars Story,tt3778644,nominated,true,false,false,
Free Solo,tt7775622,won,false,true,true,
"Hale County This Morning, This Evening",tt6634646,nominated,false,false,false,
Minding the Gap,tt7476236,nominated,false,true,false,
Of Fathers and Sons,tt7519174,nominated,false,false,false,
Period. End of Sentence.,tt6939026,won,true,false,false,
A Night at the Garden,tt7535612,nominated,false,false,false,
Black Sheep,tt7440094,nominated,false,false,false,
End Game,tt7879350,nominated,true,false,false,
Lifeboat,tt7446332,nominated,false,false,false,
Spider-Man: Into the Spider-Verse,tt4633694,won,true,false,false,
Incredibles 2,tt3606756,nominated,true,false,false,
Mirai,tt6900448,nominated,false,false,false,
Ralph Breaks the Internet,tt5848272,nominated,true,false,false,
Bao,tt8075496,won,false,false,true,
Animal Behaviour,tt8615478,nominated,false,false,false,
Late Afternoon,tt7077824,nominated,false,false,false,
One Small Step,tt8783042,nominated,false,false,false,
Weekends,tt7375186,nominated,false,false,false,
Skin,tt7332306,won,false,false,false,
Detainment,tt6813264,nominated,false,false,false,
Fauve,tt7467476,nominated,false,false,false,
Madre,tt6597824,nominated,false,false,false,
Marguerite,tt6803040,nominated,false,false,false,
Capernaum,tt8267604,nominated,false,false,false,
Shoplifters,tt8075192,nominated,false,true,false,
Parasite,tt6751668,won,false,false,false,
Marriage Story,tt7653254,nominated,true,false,false,
The Irishman,tt1302006,nominated,true,false,false,
Knives Out,tt8946378,nominated,false,false,false,
Jojo Rabbit,tt2584384,won,false,false,false,
The Two Popes,tt8404614,nominated,true,false,false,
1917,tt8579674,won,false,false,false,
The Lighthouse,tt7984734,nominated,false,false,false,
Once Upon a Time... in Hollywood,tt7131622,won,false,false,false,
Little Women,tt3281548,won,false,false,false,
Bombshell,tt6394270,won,false,false,false,
Judy,tt7549996,nominated,false,false,false,
Maleficent: Mistress of Evil,tt4777008,nominated,false,false,false,
Joker,tt7286456,won,false,false,false,
Star Wars: Episode IX - The Rise of Skywalker,tt2527338,nominated,false,false,false,
Rocketman,tt2066051,won,false,false,false,
Breakthrough,tt7083526,nominated,false,false,false,
Frozen II,tt4520988,nominated,false,false,true,
Harriet,tt4648786,nominated,false,false,false,
Ad Astra,tt2935510,nominated,false,false,false,
Ford v Ferrari,tt1950186,won,false,false,false,
Avengers: Endgame,tt4154796,nominated,false,false,true,
The Lion King,tt6105098,nominated,false,false,true,
American Factory,tt9351980,won,true,false,false,
For Sama,tt9617456,nominated,false,false,false,
Honeyland,tt8991268,nominated,false,true,false,
The Cave,tt7178226,nominated,false,true,false,
The Edge of Democracy,tt6016744,nominated,true,false,false,
Learning to Skateboard in a Warzone (If You're a Girl),tt10397932,won,false,false,false,
In the Absence,tt9464764,nominated,false,false,false,
Life Overtakes Me,tt9204606,nominated,true,false,false,
St. Louis Superman,tt10009148,nominated,false,false,false,
Walk Run Cha-Cha,tt10182854,nominated,false,false,false,
Toy Story 4,tt1979376,won,false,false,true,
How to Train Your Dragon: The Hidden World,tt2386490,nominated,false,true,false,
I Lost My Body,tt9806192,nominated,true,false,false,
Klaus,tt4729430,nominated,true,false,false,
Missing Link,tt6348138,nominated,false,true,false,
Hair Love,tt7129636,won,false,false,false,
Daughter,tt10923134,nominated,false,false,false,
Kitbull,tt9536832,nominated,false,false,true,
Memorable,tt10499942,nominated,false,false,false,
Sister,tt9032798,nominated,false,false,false,
The Neighbors' Window,tt8163822,won,false,false,false,
A Sister,tt8767544,nominated,false,false,false,
Brotherhood,tt8906678,nominated,false,false,false,
Nefta Football Club,tt8551848,nominated,false,false,false,
Saria,tt11421246,nominated,false,false,false,
Corpus Christi,tt8649186,nominated,false,false,false,
Les misérables,tt10199590,nominated,false,false,false,
Pain and Glory,tt8291806,nominated,false,false,false,
Moonlight,tt4975722,won,true,false,false,
Fences,tt2671706,nominated,false,false,false,
Hell or High Water,tt2582782,nominated,true,false,false,
Hidden Figures,tt4846340,nominated,false,false,false,
Lion,tt3741834,nominated,false,false,false,
Manchester by the Sea,tt4034228,won,false,false,false,
20th Century Women,tt4385888,nominated,true,false,false,
The Lobster,tt3464902,nominated,true,false,false,
La La Land,tt3783958,won,false,false,false,
Silence,tt0490215,nominated,false,false,false,
Hacksaw Ridge,tt2119532,won,false,false,false,
"Hail, Caesar!",tt0475290,nominated,false,false,false,
Passengers,tt1355644,nominated,false,false,false,
Fantastic Beasts and Where to Find Them,tt3183660,won,false,false,false,
Allied,tt3640424,nominated,false,false,false,
Florence Foster Jenkins,tt4136084,nominated,false,false,false,
Jackie,tt1619029,nominated,false,false,false,
Suicide Squad,tt1386697,won,false,false,false,
A Man Called Ove,tt4080728,nominated,false,false,false,
Star Trek Beyond,tt2660888,nominated,false,false,false,
Jim: The James Foley Story,tt5278466,nominated,false,false,false,
Moana,tt3521164,nominated,false,false,true,
Trolls,tt1679335,nominated,false,false,false,
13 Hours,tt4172430,nominated,false,false,false,
Rogue One: A Star Wars Story,tt3748528,nominated,false,false,true,
Arrival,tt2543164,won,false,false,false,
Deepwater Horizon,tt1860357,nominated,false,false,false,
Sully,tt3263904,nominated,false,false,false,
The Jungle Book,tt3040964,won,false,false,false,
Doctor Strange,tt1211837,nominated,false,false,true,
Kubo and the Two Strings,tt4302938,nominated,false,false,false,
O.J.: Made in America,tt5275892,won,false,false,false,
13th,tt5895028,nominated,true,false,false,
Fire at Sea,tt3652526,nominated,false,false,false,
I Am Not Your Negro,tt5804038,nominated,false,false,false,
"Life, Animated",tt3917210,nominated,false,true,false,
The White Helmets,tt6073176,won,true,false,false,
4.1 Miles,tt6279726,nominated,false,false,false,
Extremis,tt5538078,nominated,true,false,false,
Joe's Violin,tt5639178,nominated,false,false,false,
Watani: My Homeland,tt6195494,nominated,false,false,false,
Piper,tt5613056,won,false,false,true,
Blind Vaysha,tt5559726,nominated,false,false,false,
Borrowed Time,tt4874696,nominated,false,false,false,
Pear Cider and Cigarettes,tt5358978,nominated,false,false,false,
Pearl,tt5599918,nominated,false,false,false,
Mindenki,tt4571288,won,false,false,false,
Ennemis intérieurs,tt5467670,nominated,false,false,false,
La femme et le TGV,tt4661660,nominated,false,false,false,
Silent Nights,tt6460636,nominated,false,false,false,
Timecode,tt5699202,nominated,false,false,false,
The Salesman,tt5186714,won,false,false,false,
Land of Mine,tt3841424,nominated,false,false,false,
Tanna,tt4239726,nominated,false,false,false,
Toni Erdmann,tt4048272,nominated,false,false,false,
Zootopia,tt2948356,won,false,false,true,
My Life as a Zucchini,tt2321405,nominated,true,false,false,
The Red Turtle,tt3666024,nominated,false,false,false,
The Shape of Water,tt5580390,won,false,false,false,
Lady Bird,tt4925292,nominated,false,false,false,
