Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Game of Thrones,tt0944947,won,false,false,false,
This Is Us,tt5555260,nominated,false,true,false,
The Marvelous Mrs. Maisel,tt5788792,won,false,false,false,
Black-ish,tt3487356,nominated,false,true,false,
Unbreakable Kimmy Schmidt,tt3339966,nominated,true,false,false,
American Crime Story,tt2788432,won,true,false,false,
Patrick Melrose,tt6586318,nominated,false,false,false,
Black Mirror,tt2085059,won,true,false,false,
Fahrenheit 451,tt0360556,nominated,false,false,false,
Flint,tt6397426,nominated,false,false,false,
Paterno,tt2388986,nominated,false,false,false,
The Tale,tt4015500,nominated,false,false,false,
Last Week Tonight with John Oliver,tt3530232,won,false,false,false,
The Late Show with Stephen Colbert,tt3697842,nominated,false,false,false,
RuPaul's Drag Race,tt1353056,won,false,true,false,
American Ninja Warrior,tt1587934,nominated,false,false,false,
Ellen's Game of Games,tt7369770,nominated,false,true,false,
Hollywood Game Night,tt3037520,nominated,false,false,false,
The Crown,tt4786824,won,true,false,false,
Ozark,tt5071412,nominated,true,false,false,
The Looming Tower,tt6474236,nominated,false,true,false,
Twin Peaks,tt4093826,nominated,false,false,false,
Saturday Night Live,tt0072562,won,false,true,false,
The Oscars,tt7235270,won,false,false,false,
Jerry Before Seinfeld,tt7310906,nominated,true,false,false,
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,tt8075256,nominated,true,false,false,
Super Bowl LII Halftime Show Starring Justin Timberlake,tt8692230,nominated,false,false,false,
The Americans,tt2149175,won,false,false,false,
Killing Eve,tt7016936,nominated,false,true,false,
American Vandal,tt6877772,nominated,true,false,false,
Late Night with Seth Meyers,tt3513388,nominated,false,true,false,
John Mulaney: Kid Gorgeous at Radio City,tt8271714,won,true,false,false,
Michelle Wolf: Nice Lady,tt7666792,nominated,false,false,false,
Patton Oswalt: Annihilation,tt7026230,nominated,true,false,false,
At Home with Amy Sedaris,tt7552590,nominated,false,false,false,
"I Love You, America",tt7509270,nominated,false,true,false,
Tracey Ullman's Show,tt5337038,nominated,false,false,false,
Queer Eye,tt7259746,won,true,false,false,
Antiques Roadshow,tt0159847,nominated,false,false,false,
Fixer Upper,tt4591390,nominated,false,true,false,
Lip Sync Battle,tt4335742,nominated,false,false,false,
United Shades of America,tt4515676,won,false,false,false,
Naked and Afraid,tt3007640,nominated,false,true,false,
RuPaul's Drag Race: Untucked!,tt1588754,nominated,false,true,false,
The Zen Diaries of Garry Shandling,tt7860890,won,false,false,false,
Icarus,tt6333060,nominated,true,false,false,
Jim & Andy: The Great Beyond,tt7214762,nominated,true,false,false,
Mister Rogers: It's You I Like,tt8200998,nominated,false,false,false,
Spielberg,tt7133092,nominated,false,false,false,
Wild Wild Country,tt7768848,won,true,false,false,
The Defiant Ones,tt6958022,nominated,false,false,false,
The Fourth Estate,tt8106552,nominated,false,false,false,
Anthony Bourdain: Parts Unknown,tt2845786,won,false,false,false,
My Next Guest Needs No Introduction with David Letterman,tt7829834,nominated,true,false,false,
StarTalk,tt4634294,nominated,false,false,false,
Rick and Morty,tt2861424,won,false,true,false,
Big Hero 6: The Series,tt5515212,nominated,false,false,false,
Robot Chicken,tt0437745,won,false,false,false,
Teen Titans Go!,tt2771780,nominated,false,true,false,
We Bare Bears,tt4839610,nominated,true,true,false,
Jesus Christ Superstar Live in Concert,tt6874964,won,false,false,false,
75th Golden Globe Awards,tt6635044,nominated,false,false,false,
Night of Too Many Stars,tt7657600,nominated,false,false,false,
The 60th Annual Grammy Awards,tt7934862,nominated,false,false,false,
Dave Chappelle: Equanimity,tt7806998,won,true,false,false,
The Carol Burnett 50th Anniversary Special,tt7709350,nominated,false,false,false,
Strong Island,tt5873150,won,true,false,false,
City of Ghosts,tt6333056,nominated,false,false,false,
What Haunts Us,tt6073760,nominated,false,false,false,
Family Guy,tt0182576,won,false,true,false,
American Dad!,tt0397306,nominated,false,true,false,
The Magical Wand Chase,tt7632000,won,false,false,false,
A Series of Unfortunate Events,tt4834206,nominated,true,false,false,
Alexa & Katie,tt6916746,nominated,true,false,false,
Fuller House,tt3986586,nominated,true,false,false,
Star Wars Rebels,tt2930604,nominated,false,false,true,
So You Think You Can Dance,tt0472023,won,false,false,false,
Genius,tt5673782,won,false,true,false,
Will & Grace,tt0157246,won,false,true,false,
Superior Donuts,tt5462364,nominated,false,false,false,
Jane,tt7207238,won,false,true,true,
Chef's Table,tt4295140,nominated,true,false,false,
Life Below Zero,tt2964642,won,false,false,true,
Atlanta,tt4288182,won,false,true,false,
Insecure,tt5024912,nominated,false,false,false,
The End of the F***ing World,tt6257970,nominated,true,false,false,
Legion,tt5114356,nominated,false,true,false,
Empire,tt3228904,nominated,false,true,false,
Grace and Frankie,tt3609352,nominated,true,false,false,
Conan,tt1637574,won,false,false,false,
The Oscars: All Access,tt8169410,nominated,false,false,false,
Watch What Happens Live with Andy Cohen,tt2057880,nominated,false,false,false,
The Vietnam War,tt1877514,nominated,true,false,false,
The Last Tycoon,tt3390892,nominated,false,false,false,
Westworld,tt0475784,won,false,false,false,
Adventure Time,tt1305826,won,false,true,false,
Hey Arnold: The Jungle Movie,tt5257726,won,true,true,false,
Mickey Mouse,tt2768802,won,false,false,true,
Steven Universe,tt3061046,won,false,true,false,
